ticker,name,exchange,industry,sector,MarketCap,InternalOwnership,ExternalOwnership,StateOwnership,AvgValue20P
L14,Công ty Cổ phần Licogi 14,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,1246603253700,15.392,84.608,0,2319152185
LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,HNX,Hóa chất,Hóa chất,970565040000,0.097,99.903,69.82,4096954505
LCG,Công ty Cổ phần LICOGI 16,HOSE,Xây dựng & Vật liệu,Xây dựng & Vật liệu,1187056171600,20.406,79.594,0,9842999695
LDG,Công ty Cổ phần Đầu tư LDG ,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,1582827912600,12.261,87.739,0,23991527985
LHG,Công ty Cổ phần Long Hậu ,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,1290309858000,1.316,98.684,48.67,5328068100
LIG,Công ty Cổ phần Licogi 13,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,209397207600,18.696,81.304,6.23,1433490370
LIX,Công ty Cổ phần Bột giặt Lix,HOSE,Hàng gia dụng,Đồ dùng cá nhân và đồ gia dụng,1853280000000,0.403,99.597,51,5311055250
LPB,Ngân hàng Thương mại Cổ phần Bưu điện Liên Việt,HOSE,Ngân hàng,Ngân hàng,12158121829955,4.8473,95.1527,0,132640269230
LTG,Công ty Cổ phần Tập đoàn Lộc Trời,UPCOM,Hóa chất,Hóa chất,1987592951080,3.211,96.789,24.15,4522216205
MBB,Ngân hàng Thương mại Cổ phần Quân đội ,HOSE,Ngân hàng,Ngân hàng,51164446874400,0.702,99.298,0,119285214150
MBG,Công ty cổ phần Tập đoàn MBG,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,347285520000,1.716,98.284,0,6031422405
MBS,Công ty Cổ phần chứng khoán MB,HNX,Dịch vụ tài chính,Dịch vụ tài chính,1741818680200,0.023,99.977,0,1482895605
MCH,Công ty cổ phần Hàng Tiêu Dùng Masan,UPCOM,Sản xuất thực phẩm,Thực phẩm & Đồ uống,53192849659446,0.213,99.787,0,4645878300
MHC,Công ty Cổ phần MHC,HOSE,Giao thông công nghiệp,Hàng hóa và dịch vụ công nghiệp,235190873920,0,100,0,1141918375
MIG,Tổng Công ty Cổ phần Bảo Hiểm Quân Đội,UPCOM,Bảo hiểm phi nhân thọ,Bảo hiểm,1481870000000,0.745,99.255,0,1121464890
MLS,Công ty Cổ phần Chăn nuôi - Mitraco,UPCOM,Sản xuất thực phẩm,Thực phẩm & Đồ uống,195812000000,0.018,99.982,0,1469899150
MML,Công ty Cổ phần Masan MEATLife,UPCOM,Sản xuất thực phẩm,Thực phẩm & Đồ uống,14266657223949,0.808,99.192,0,1474068045
MPC,Công ty cổ phần Tập đoàn Thủy sản Minh Phú,UPCOM,Sản xuất thực phẩm,Thực phẩm & Đồ uống,5519866972080,39.781,60.219,0,3440374840
MSH,Công ty cổ phần May Sông Hồng,HOSE,Hàng hóa cá nhân,Đồ dùng cá nhân và đồ gia dụng,1655311140000,43.158,56.842,0,2283144875
MSN,Công ty Cổ phần Tập đoàn Ma San,HOSE,Sản xuất thực phẩm,Thực phẩm & Đồ uống,98908329313200,4.489,95.511,0,354787377700
MSR,CÔNG TY CỔ PHẦN MASAN HIGH-TECH MATERIALS,UPCOM,Khai thác mỏ,Tài nguyên,15601302115938,0.527,99.473,0,4932204105
MST,Công ty cổ phần đầu tư MST,HNX,Xây dựng & Vật liệu,Xây dựng & Vật liệu,152735939800,21.76,78.24,0,4002761210
MWG,Công ty Cổ phần đầu tư thế giới di động,HOSE,Bán lẻ,Dịch vụ bán lẻ,48338309479200,8.78,91.22,0,92827627950
NAF,Công ty Cổ phần Nafoods Group ,HOSE,Đồ uống,Thực phẩm & Đồ uống,1044112990500,54.299,45.701,0,1595749600
NBB,Công ty Cổ phần đầu tư Năm Bảy Bảy ,HOSE,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,2137056762400,1.11,98.89,0,15992264000
NCT,Công ty Cổ phần dịch vụ hàng hóa Nội Bài ,HOSE,Giao thông công nghiệp,Hàng hóa và dịch vụ công nghiệp,1766186910000,0.108,99.892,65.07,1257089450
NDN,Công ty Đầu tư Phát triển Nhà Đà Nẵng ,HNX,Dịch vụ Đầu tư Bất Động Sản,Bất động sản,1127839145500,8.915,91.085,0,9930919830
